sku,_category,name,country_of_manufacture,description,short_description,price,image,small_image,_media_image,_root_category,_store,_type,_attribute_set,_product_websites,color,cost,created_at,has_options,msrp,msrp_display_actual_price_type,msrp_enabled,options_container,required_options,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,vip_privce,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,use_config_manage_stock,use_config_qty_increments,_media_position,use_config_enable_qty_inc,manage_stock,stock_status_changed_auto,qty_increments,_media_is_disabled,enable_qty_increments,is_decimal_divided,_media_attribute_id,_media_lable,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
20285,世界名表/康斯登 Frederique Constant,康斯登 Clear Vision Automatic FC-303C6B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-303C6B4

所属品牌: 康斯登 Frederique Constant

所属系列: Clear Vision Automatic 系列

品牌产地: 瑞士","7,363.13",/FC-303C6B4_1.jpg,/FC-303C6B4_1.jpg,/FC-303C6B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-18 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303C6B4_1.jpg,2014-05-21 03:37:13,83938-sy-db-1021,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20286,世界名表/康斯登 Frederique Constant,康斯登 Carree FC-303MC4C24,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-303MC4C24

所属品牌: 康斯登 Frederique Constant

所属系列: Carree系列

品牌产地: 瑞士 ","7,363.13",/FC-303MC4C24_1.jpg,/FC-303MC4C24_1.jpg,/FC-303MC4C24_1.jpg,Accessories,,simple,Default,base,,,2014-3-19 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303MC4C24_1.jpg,2014-05-22 03:37:13,83938-sy-db-1020,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20287,世界名表/康斯登 Frederique Constant,康斯登 Carree FC-310MC4C25 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-310MC4C25

所属品牌: 康斯登 Frederique Constant

所属系列: Carree系列

品牌产地: 瑞士 ","7,987.88",/FC-310MC4C25_1.jpg,/FC-310MC4C25_1.jpg,/FC-310MC4C25_1.jpg,Accessories,,simple,Default,base,,,2014-3-20 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-310MC4C25_1.jpg,2014-05-23 03:37:13,83938-sy-db-1019,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20288,世界名表/康斯登 Frederique Constant,康斯登 希利机械 FC-303HB6B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 希利机械 FC-303HB6B4

所属品牌: 康斯登 Frederique Constant

所属系列: 希利机械系列

品牌产地: 瑞士 ","9,772.88",/FC-303HB6B4_1.jpg,/FC-303HB6B4_1.jpg,/FC-303HB6B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-21 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303HB6B4_1.jpg,2014-05-24 03:37:13,83938-sy-db-1018,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20289,世界名表/康斯登 Frederique Constant,康斯登 希利机械 FC-303HS6B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-303HS6B4

所属品牌: 康斯登 Frederique Constant

所属系列: 希利机械系列

品牌产地: 瑞士 ","9,772.88",/FC-303HS6B4_1.jpg,/FC-303HS6B4_1.jpg,/FC-303HS6B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-22 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303HS6B4_1.jpg,2014-05-25 03:37:13,83938-sy-db-1017,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20290,世界名表/康斯登 Frederique Constant,康斯登 古典 FC-393M6B6 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 古典 FC-393M6B6

所属品牌: 康斯登 Frederique Constant

所属系列: 古典系列

品牌产地: 瑞士 ","12,941.25",/FC-393MC6B6-big.jpg,/FC-393MC6B6-big.jpg,/FC-393MC6B6-big.jpg,Accessories,,simple,Default,base,,,2014-3-23 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-393MC6B6-big.jpg,2014-05-26 03:37:13,83938-sy-db-1016,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20291,世界名表/康斯登 Frederique Constant,康斯登 古典 FC-392V5B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 古典 FC-392V5B4

所属品牌: 康斯登 Frederique Constant

所属系列: 古典系列

品牌产地: 瑞士 ","13,833.75",/FC-392V5B4_1.jpg,/FC-392V5B4_1.jpg,/FC-392V5B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-24 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-392V5B4_1.jpg,2014-05-27 03:37:13,83938-sy-db-1015,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20292,世界名表/康斯登 Frederique Constant,康斯登 心跳 FC-935MC4H9 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-935MC4H9

所属品牌: 康斯登 Frederique Constant

所属系列: 心跳系列

品牌产地: 瑞士 ","78,093.75",/FC-935MC4H9.jpg,/FC-935MC4H9.jpg,/FC-935MC4H9.jpg,Accessories,,simple,Default,base,,,2014-3-25 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-935MC4H9.jpg,2014-05-28 03:37:13,83938-sy-db-1014,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
